,종목코드,종목명,업종,코스닥여부
129,002170,삼양통상,"섬유,의류,신발,호화품",N
130,002200,한국수출포장,포장재,N
131,002210,동성제약,제약,N
132,002220,한일철강,철강,N
133,002240,고려제강,철강,N
134,002270,롯데푸드,식품,N
135,002310,아세아제지,포장재,N
136,002320,한진,항공화물운송과물류,N
137,002350,넥센타이어,자동차부품,N
138,002355,넥센타이어1우B,자동차부품,N
139,002360,SH에너지화학,화학,N
140,002380,KCC,건축자재,N
141,002390,한독,제약,N
142,002410,범양건영,건설,N
143,002420,세기상사,방송과엔터테인먼트,N
144,002450,삼익악기,레저용장비와제품,N
145,002460,화성산업,건설,N
146,002600,조흥,식품,N
147,002620,제일파마홀딩스,제약,N
148,002630,오리엔트바이오,자동차부품,N
149,002690,동일제강,철강,N
150,002700,신일전자,가정용기기와용품,N
151,002710,TCC스틸,철강,N
152,002720,국제약품,제약,N
153,002760,보락,식품,N
154,002780,진흥기업,건설,N
155,002785,진흥기업우B,건설,N
156,002787,진흥기업2우B,건설,N
157,002790,아모레G,화장품,N
158,002795,아모레G우,화장품,N
159,00279K,아모레G3우(전환),화장품,N
160,002810,삼영무역,화학,N
161,002820,선창산업,종이와목재,N
162,002840,미원상사,화학,N
163,002870,신풍제지,포장재,N
164,002880,대유에이텍,자동차부품,N
165,002900,동양물산,기계,N
166,002920,유성기업,자동차부품,N
167,002960,한국쉘석유,석유와가스,N
168,002990,금호산업,건설,N
169,002995,금호산업우,건설,N
170,003000,부광약품,제약,N
171,003010,혜인,기계,N
172,003030,세아제강지주,철강,N
173,003060,에이프로젠제약,제약,N
174,003070,코오롱글로벌,건설,N
175,003075,코오롱글로벌우,건설,N
176,003080,성보화학,화학,N
177,003090,대웅,제약,N
178,003120,일성신약,제약,N
179,003160,디아이,반도체와반도체장비,N
180,003200,일신방직,"섬유,의류,신발,호화품",N
181,003220,대원제약,제약,N
182,003230,삼양식품,식품,N
183,003240,태광산업,화학,N
184,003280,흥아해운,해운사,N
185,003300,한일홀딩스,건축자재,N
186,003350,한국화장품제조,화장품,N
187,003410,쌍용양회,건축자재,N
188,003415,쌍용양회우,건축자재,N
189,003460,유화증권,증권,N
190,003465,유화증권우,증권,N
191,003470,유안타증권,증권,N
192,003475,유안타증권우,증권,N
193,003480,한진중공업홀딩스,가스유틸리티,N
194,003490,대한항공,항공사,N
195,003495,대한항공우,항공사,N
196,003520,영진약품,제약,N
197,003530,한화투자증권,증권,N
198,003535,한화투자증권우,증권,N
199,003540,대신증권,증권,N
200,003545,대신증권우,증권,N
201,003547,대신증권2우B,증권,N
202,003550,LG,복합기업,N
203,003555,LG우,복합기업,N
204,003560,IHQ,방송과엔터테인먼트,N
205,003570,S&T중공업,자동차부품,N
206,003580,넥스트사이언스,건축자재,N
207,003610,방림,"섬유,의류,신발,호화품",N
208,003620,쌍용차,자동차,N
209,003650,미창석유,석유와가스,N
210,003670,포스코케미칼,화학,N
211,003680,한성기업,식품,N
212,003690,코리안리,손해보험,N
213,003720,삼영화학,화학,N
214,003780,진양산업,화학,N
215,003830,대한화섬,화학,N
216,003850,보령제약,제약,N
217,003920,남양유업,식품,N
218,003925,남양유업우,식품,N
219,003960,사조대림,식품,N
220,004000,롯데정밀화학,화학,N
221,004020,현대제철,철강,N
222,004060,SG세계물산,"섬유,의류,신발,호화품",N
223,004080,신흥,건강관리장비와용품,N
224,004090,한국석유,화학,N
225,004100,태양금속,자동차부품,N
226,004105,태양금속우,자동차부품,N
227,004140,동방,항공화물운송과물류,N
228,004150,한솔홀딩스,종이와목재,N
229,004170,신세계,백화점과일반상점,N
230,004250,NPC,화학,N
231,004255,NPC우,화학,N
232,004270,남성,전자장비와기기,N
233,004310,현대약품,제약,N
234,004360,세방,항공화물운송과물류,N
235,004365,세방우,항공화물운송과물류,N
236,004370,농심,식품,N
237,004380,삼익THK,기계,N
238,004410,서울식품,식품,N
239,004415,서울식품우,식품,N
240,004430,송원산업,화학,N
241,004440,대림씨엔에스,,
242,004450,삼화왕관,포장재,N
243,004490,세방전지,자동차부품,N
244,004540,깨끗한나라,종이와목재,N
245,004545,깨끗한나라우,종이와목재,N
246,004560,현대비앤지스틸,비철금속,N
247,004565,현대비앤지스틸우,비철금속,N
248,004690,삼천리,가스유틸리티,N
249,004700,조광피혁,"섬유,의류,신발,호화품",N
250,004710,한솔테크닉스,디스플레이장비및부품,N
251,004720,우리들제약,제약,N
252,004770,써니전자,전자장비와기기,N
253,004800,효성,복합기업,N
254,004830,덕성,"섬유,의류,신발,호화품",N
255,004835,덕성우,"섬유,의류,신발,호화품",N
256,004840,DRB동일,자동차부품,N
257,004870,티웨이홀딩스,항공사,N
258,004890,동일산업,철강,N
259,004910,조광페인트,건축자재,N
260,004920,씨아이테크,컴퓨터와주변기기,N
261,004960,한신공영,건설,N
262,004970,신라교역,식품,N
263,004980,성신양회,건축자재,N
264,004985,성신양회우,건축자재,N
265,004990,롯데지주,식품,N
266,00499K,롯데지주우,식품,N
267,005010,휴스틸,철강,N
268,005030,부산주공,자동차부품,N
269,005070,코스모신소재,화학,N
270,005090,삼광글라스,포장재,N
271,005110,한창,부동산,N
272,005180,빙그레,식품,N
273,005190,동성화학,화학,N
274,005250,녹십자홀딩스,제약,N
275,005257,녹십자홀딩스2우,제약,N
276,005300,롯데칠성,음료,N
277,005305,롯데칠성우,음료,N
278,005320,국동,"섬유,의류,신발,호화품",N
279,005360,모나미,문구류,N
280,005380,현대차,자동차,N
281,005385,현대차우,자동차,N
282,005387,현대차2우B,자동차,N
283,005389,현대차3우B,자동차,N
284,005390,신성통상,"섬유,의류,신발,호화품",N
285,005420,코스모화학,화학,N
286,005430,한국공항,운송인프라,N
287,005440,현대그린푸드,식품과기본식료품소매,N
288,005490,POSCO,철강,N
289,005500,삼진제약,제약,N
290,005610,SPC삼립,식품,N
