Date,open,high,low,close,volume,change,1month_close,1month_change,TARGET,_qcut,macd,macd_signal,macd_hist,bol_upperband,bol_middleband,bol_lowerband,bolinger_pca
2013-06-13,81400,83100,81000,82000,69843,0.0012210012210012167,83800.0,0.02195121951219512,0.0,0.0,-2057.8200514409546,-1870.5888880990472,-187.2311633419074,89753.72406923772,84180.0,78606.27593076228,-58656.782330099675
2013-06-14,81800,82900,81800,82900,30536,0.01097560975609757,85700.0,0.033775633293124246,1.0,1.0,-1877.1587398559786,-1871.9028584504335,-5.255881405545097,89559.93450729093,84025.0,78490.06549270907,-58929.24997052075
2013-06-17,82500,82700,79600,81100,46625,-0.021712907117008462,87600.0,0.08014796547472257,1.0,3.0,-1857.8125984164071,-1869.0848064436282,11.27220802722104,89079.58254413086,83690.0,78300.41745586914,-59526.40408955113
2013-06-18,81000,82100,81000,81400,35010,0.0036991368680641123,87600.0,0.07616707616707617,1.0,3.0,-1797.5520876199735,-1854.7782626788971,57.22617505892367,88305.58036815807,83330.0,78354.41963184193,-60202.790093101416
2013-06-19,81500,82100,80700,81800,39518,0.004914004914004844,87100.0,0.0647921760391198,1.0,1.0,-1697.9456807268143,-1823.4117462884806,125.46606556166626,87402.9360249441,82995.0,78587.0639750559,-60856.73210927782
2013-06-20,81000,81900,80700,81400,68941,-0.004889975550122272,86800.0,0.06633906633906633,1.0,1.0,-1632.4654966284434,-1785.2224963564731,152.75699972802977,86598.19562506145,82685.0,78771.80437493855,-61457.76528047534
2013-06-21,81400,81700,80400,81500,65569,0.0012285012285011554,88300.0,0.0834355828220859,1.0,3.0,-1554.5825547094573,-1739.0945080270699,184.51195331761255,86247.5857751689,82495.0,78742.4142248311,-61806.961832247514
2013-06-24,82300,82400,80000,81800,39366,0.0036809815950920033,87500.0,0.06968215158924206,1.0,3.0,-1451.915491328953,-1681.6587046874465,229.74321335849345,85935.2190475686,82340.0,78744.7809524314,-62095.37517333726
2013-06-25,81200,81800,79500,81200,80714,-0.007334963325183352,87700.0,0.08004926108374384,1.0,3.0,-1402.7955357877654,-1625.8860709075102,223.0905351197448,85864.69224139483,82250.0,78635.30775860517,-62247.934743167585
2013-06-26,80500,81600,77700,78300,114170,-0.0357142857142857,87700.0,0.12005108556832694,3.0,3.0,-1579.6639975627622,-1616.6416562385607,36.977658675798466,85927.2201866461,81985.0,78042.7798133539,-62660.80401004449
2013-06-27,79000,79800,78400,79300,45997,0.012771392081736943,87700.0,0.10592686002522068,3.0,3.0,-1620.4622055339132,-1617.4057660976312,-3.056439436282062,85239.11100134463,81640.0,78040.88899865537,-63301.79361803901
2013-06-28,79300,79800,78300,78900,67668,-0.0050441361916772065,87800.0,0.11280101394169835,3.0,3.0,-1665.8686396362755,-1627.09834080536,-38.77029883091541,84570.47397176617,81300.0,78029.52602823383,-63932.216065486056
2013-07-01,79100,80400,78900,80000,36491,0.013941698352344822,88200.0,0.1025,3.0,3.0,-1594.7099354186357,-1620.6206597280152,25.910724309379475,83783.29037767118,81035.0,78286.70962232882,-64459.35055186335
2013-07-02,79800,83000,79800,82300,68237,0.028750000000000053,88600.0,0.07654921020656136,1.0,3.0,-1337.3096978074464,-1563.9584673439015,226.64876953645512,83643.3768614002,80995.0,78346.6231385998,-64541.75455635808
2013-07-03,82800,83800,81400,82300,57362,0.0,89400.0,0.08626974483596597,1.0,3.0,-1120.4028484219452,-1475.2473435595102,354.844495137565,83451.37187982949,80945.0,78438.62812017051,-64647.06084948888
2013-07-04,83100,83600,82100,83400,39513,0.013365735115431265,89500.0,0.07314148681055156,1.0,3.0,-849.9441732803534,-1350.186709503679,500.2425362233255,83780.05045824843,81055.0,78329.94954175157,-64427.99169524905
2013-07-05,83400,84200,82700,83600,47123,0.0023980815347721673,89200.0,0.06698564593301436,1.0,1.0,-612.4059614368743,-1202.630559890318,590.2245984534436,84064.67233260935,81280.0,78495.32766739065,-64032.02844159787
2013-07-08,83100,84500,82500,84000,38779,0.004784688995215225,86000.0,0.023809523809523808,0.0,0.0,-387.41270758301835,-1039.586989428858,652.1742818458397,84454.6345293075,81445.0,78435.3654706925,-63717.28315315002
2013-07-09,84100,84200,82700,84000,105680,0.0,86800.0,0.03333333333333333,1.0,1.0,-206.72098211252887,-873.0137879655922,666.2928058530633,84760.78492494249,81655.0,78549.21507505751,-63342.270754335055
2013-07-10,83700,84200,82200,84100,58037,0.0011904761904761862,86100.0,0.023781212841854936,0.0,0.0,-54.82038828678196,-709.3751080298301,654.5547197430482,85048.45854245184,81765.0,78481.54145754816,-63128.715754772405
2013-07-11,83400,84300,83200,84100,41612,0.0,87300.0,0.03804994054696789,1.0,1.0,64.8147822409228,-554.5371299756796,619.3519122166024,85307.49909090897,81870.0,78432.50090909103,-62926.95983238295
2013-07-12,84800,84800,83300,83400,58944,-0.008323424494649179,88000.0,0.05515587529976019,1.0,1.0,101.96695536386687,-423.2363129077703,525.2032682716372,85369.17616133667,81895.0,78420.82383866333,-62878.92260723322
2013-07-15,83300,84500,83300,83600,71186,0.0023980815347721673,88000.0,0.05263157894736842,1.0,1.0,145.86718267826654,-309.41561379056293,455.2827964688295,85550.21245819569,82020.0,78489.78754180431,-62655.86178469732
2013-07-16,83100,84100,83100,83700,26331,0.0011961722488038617,88000.0,0.05137395459976105,1.0,1.0,186.57685156929074,-210.21712071859218,396.7939722878829,85726.25326313809,82135.0,78543.74673686191,-62449.37000535239
2013-07-17,84000,84700,83700,83900,24083,0.002389486260454099,87500.0,0.04290822407628129,1.0,1.0,232.30007532642048,-121.71368150958965,354.01375683601015,85907.91493903553,82240.0,78572.08506096447,-62258.01963054974
2013-07-18,84000,84200,83400,83800,46176,-0.0011918951132300348,88600.0,0.057279236276849645,1.0,1.0,257.49861159965803,-45.8712228877401,303.3698344873981,86066.9664147386,82360.0,78653.0335852614,-62045.86386001496
2013-07-19,84000,86000,83000,85700,69157,0.022673031026253065,87700.0,0.023337222870478413,0.0,0.0,425.8735490034742,48.47773149050276,377.3958175129714,86525.8058597459,82570.0,78614.1941402541,-61650.318554520556
2013-07-22,86100,88100,85400,87600,78019,0.022170361726954413,87300.0,-0.003424657534246575,-3.0,0.0,704.5049267528666,179.68317054297552,524.8217562098911,87360.3999822238,82860.0,78359.6000177762,-61077.06534060452
2013-07-23,87000,88100,86900,87600,70299,0.0,86000.0,-0.0182648401826484,-3.0,-3.0,914.7773175621842,326.7019999468173,588.0753176153669,88057.13030377496,83180.0,78302.86969622504,-60474.659584886096
2013-07-24,87200,87700,86300,87100,65051,-0.005707762557077611,87900.0,0.009184845005740528,-3.0,0.0,1029.2097910730517,467.20355817206416,562.0062329009876,88237.61843378164,83620.0,79002.38156621836,-59750.908381362686
2013-07-25,86900,88000,86500,86800,33240,-0.003444316877152742,85000.0,-0.020737327188940093,-3.0,-3.0,1083.2043524724722,590.4037170321458,492.80063544032646,88359.61911282073,83995.0,79630.38088717927,-59138.354569477146
2013-07-26,87800,88700,87200,88300,42536,0.017281105990783363,86800.0,-0.01698754246885617,-3.0,-3.0,1232.821694281447,718.887312482006,513.934381799441,88549.25023719165,84465.0,80380.74976280835,-58365.682040329855
2013-07-29,88300,88500,85100,87500,70435,-0.009060022650056676,85600.0,-0.021714285714285714,-3.0,-3.0,1272.1763444818498,829.5451188819748,442.63122559987505,88578.12787368223,84840.0,81101.87212631777,-57765.65097811245
2013-07-30,87400,87800,86500,87700,36419,0.0022857142857142243,85900.0,-0.020524515393386546,-3.0,-3.0,1304.466439715994,924.5293830487786,379.9370566672154,88855.34377594368,85110.0,81364.65622405632,-57299.145916842914
2013-07-31,87500,87700,86800,87700,27573,0.0,86300.0,-0.01596351197263398,-3.0,-3.0,1314.8992329653556,1002.603353032094,312.29587993326163,89054.01687530147,85380.0,81705.98312469853,-56843.20292304967
2013-08-01,87900,88000,87000,87700,17317,0.0,87500.0,-0.002280501710376283,-3.0,0.0,1308.0884671867534,1063.7003758630258,244.38809132372762,89283.61762724194,85595.0,81906.38237275806,-56470.535924573145
2013-08-02,88000,88300,86700,87800,53370,0.0011402508551880963,87500.0,-0.003416856492027335,-3.0,0.0,1295.8226140304614,1110.1248234965128,185.6977905339486,89493.61762724194,85805.0,82116.38237275806,-56108.453379659804
