Date,open,high,low,close,volume,change,ma5,ma10,ma20,ma60,ma120,upperband,middleband,lowerband
2019-04-30,46000,46300,45350,45850,11121273,-0.00650054171180936,45250.0,45475.0,46127.5,45632.5,43607.083333333336,47801.55943741553,46127.5,44453.44056258447
2019-05-02,45500,46150,45400,45900,8625126,0.0010905125408942062,45480.0,45360.0,46092.5,45628.333333333336,43624.583333333336,47754.81013953474,46092.5,44430.18986046526
2019-05-03,45900,46050,45300,45300,6562916,-0.013071895424836555,45610.0,45330.0,46010.0,45610.833333333336,43637.5,47657.60432143157,46010.0,44362.39567856843
2019-05-07,45250,45300,44400,44850,12014907,-0.009933774834437137,45610.0,45285.0,45910.0,45588.333333333336,43644.583333333336,47584.09677139644,45910.0,44235.90322860356
2019-05-08,44300,44850,44200,44250,10398754,-0.013377926421404673,45230.0,45175.0,45790.0,45579.166666666664,43646.25,47575.10503892628,45790.0,44004.89496107372
2019-05-09,43900,44250,42450,42450,23029718,-0.04067796610169494,44550.0,44900.0,45580.0,45536.666666666664,43630.833333333336,47836.85622049789,45580.0,43323.14377950211
2019-05-10,42600,43450,42450,42900,14579512,0.010600706713780994,43950.0,44715.0,45390.0,45484.166666666664,43611.666666666664,47866.812467668875,45390.0,42913.187532331125
2019-05-13,42500,43200,42350,42650,7635079,-0.005827505827505797,43420.0,44515.0,45210.0,45425.0,43596.25,47922.67395755553,45210.0,42497.32604244447
2019-05-14,41300,43100,41300,42650,11563730,0.0,42980.0,44295.0,45000.0,45344.166666666664,43584.166666666664,47820.46095523409,45000.0,42179.53904476591
2019-05-15,42700,43050,42550,42550,7670185,-0.0023446658851113966,42640.0,43935.0,44775.0,45285.833333333336,43570.0,47623.24507372522,44775.0,41926.75492627478
2019-05-16,42350,42400,41350,41550,13687828,-0.023501762632197387,42460.0,43505.0,44490.0,45208.333333333336,43549.583333333336,47429.8299270536,44490.0,41550.1700729464
2019-05-17,41950,42050,40850,41200,13357951,-0.008423586040914532,42120.0,43035.0,44197.5,45129.166666666664,43529.166666666664,47223.13629671512,44197.5,41171.86370328488
2019-05-20,41650,42100,41550,42000,15752397,0.01941747572815533,41990.0,42705.0,44017.5,45047.5,43522.5,47115.44690077154,44017.5,40919.55309922846
2019-05-21,42600,43950,42350,43150,18812133,0.027380952380952284,42090.0,42535.0,43910.0,44984.166666666664,43531.25,46971.47023503414,43910.0,40848.52976496586
2019-05-22,43700,43800,42400,43500,11033339,0.008111239860950192,42280.0,42460.0,43817.5,44923.333333333336,43540.0,46810.3706955029,43817.5,40824.6293044971
2019-05-23,43900,44000,43250,43850,12259006,0.008045977011494232,42740.0,42600.0,43750.0,44865.0,43552.083333333336,46675.2350332922,43750.0,40824.7649667078
2019-05-24,43800,43800,42400,42700,13966305,-0.026225769669327215,43040.0,42580.0,43647.5,44797.5,43552.916666666664,46569.05352509585,43647.5,40725.94647490415
